27,2985CK,Klooslaan,Ridderkerk
82,2985TJ,Herman de Manstraat,Ridderkerk
59,2986EC,Rosmolen,Ridderkerk
260,2981AH,Burgemeester de Zeeuwstraat,Ridderkerk
18,2985CS,Van Eedenstraat,Ridderkerk
128,2985AL,Hortensiastraat,Ridderkerk
152,2983HW,Oranjestraat,Ridderkerk
338,2986HC,Brasem,Ridderkerk
39,2983SC,Beiersestraat,Ridderkerk
234,2986HB,Brasem,Ridderkerk
127,2986PB,Karper,Ridderkerk
12,2984AH,Nijverheidstraat,Ridderkerk
56,2986CP,Korhoen,Ridderkerk
217,2986GM,Vlietplein,Ridderkerk
244,2986EP,Rosmolen,Ridderkerk
13,2983AA,Johann Sebastian Bachstraat,Ridderkerk
45,2988XB,Ds. Sleeswijk Visserstraat,Ridderkerk
329,2982TG,Goudenregenplantsoen,Ridderkerk
4,2982VC,Groen van Prinstererweg,Ridderkerk
33,2987AV,Van Riebeekstraat,Ridderkerk
89,2987AM,Retiefstraat,Ridderkerk
80,2983BD,Bizetstraat,Ridderkerk
104,2983HV,Oranjestraat,Ridderkerk
36,2983EV,Willemstraat,Ridderkerk
42,2981EW,Ringdijk,Ridderkerk
47,2983TM,Mecklenburgstraat,Ridderkerk
45,2983AN,Reijerweg,Ridderkerk
244,2986HB,Brasem,Ridderkerk
66,2986PD,Zalm,Ridderkerk
47,2986TK,Windmolen,Ridderkerk
16,2985BB,Bellamystraat,Ridderkerk
25,2983TP,Prinses Beatrixstraat,Ridderkerk
3,2983TA,Henegouwsestraat,Ridderkerk
114,2986EG,Rosmolen,Ridderkerk
30,2986XG,Rietvink,Ridderkerk
24,2985BC,Da Costalaan,Ridderkerk
92,2987VW,Reggestraat,Ridderkerk
172,2989AL,Pruimendijk,Ridderkerk
4,2985VN,Oudaenstraat,Ridderkerk
23,2985BK,P.C. Hooftstraat,Ridderkerk
86,2982VM,Jhr. Van Karnebeekweg,Ridderkerk
251,2982RN,Mr. Kesperweg,Ridderkerk
399,2982TH,Goudenregenplantsoen,Ridderkerk
307,2982TG,Goudenregenplantsoen,Ridderkerk
363,2982TH,Goudenregenplantsoen,Ridderkerk
31,2987XS,Westerhof,Ridderkerk
109,2987CX,Vechtstraat,Ridderkerk
32,2987XE,de la Reijstraat,Ridderkerk
107,2987BR,Paul Krugerstraat,Ridderkerk
34,2987BD,Boezemkade,Ridderkerk
126,2987CX,Vechtstraat,Ridderkerk
64,2987CX,Vechtstraat,Ridderkerk
113,2987XC,de la Reijstraat,Ridderkerk
41,2986XG,Rietvink,Ridderkerk
103,2987CM,Noordstraat,Ridderkerk
35,2988BA,Rijksstraatweg,Ridderkerk
160,2983EK,Prinses Margrietstraat,Ridderkerk
50,2982VC,Groen van Prinstererweg,Ridderkerk
25,2988CH,Waalweg,Ridderkerk
41,2987EJ,Leklaan,Ridderkerk
67,2987EJ,Leklaan,Ridderkerk
5,2987CC,Gouwestraat,Ridderkerk
12,2987TD,Markstraat,Ridderkerk
310,2988BR,Rijksstraatweg,Ridderkerk
10,2987EK,Leklaan,Ridderkerk
37,2982BE,Burgemeester de Zeeuwstraat,Ridderkerk
50,2986NB,Tarbot,Ridderkerk
12,2982CT,Prunuslaan,Ridderkerk
106,2983AJ,Mozartstraat,Ridderkerk
172,2985SX,Kloosplantsoen,Ridderkerk
733,2985SW,Kloosplantsoen,Ridderkerk
675,2985SV,Kloosplantsoen,Ridderkerk
74,2981BV,Oudelandseweg,Ridderkerk
170,2982ND,Prunusplantsoen,Ridderkerk
201,2982TE,Goudenregenplantsoen,Ridderkerk
173,2987SJ,Rijnsingel,Ridderkerk
25,2987SC,Rijnsingel,Ridderkerk
285,2987SM,Rijnsingel,Ridderkerk
354,2983GR,Ringdijk,Ridderkerk
63,2982CC,Beukenhof,Ridderkerk
273,2983GD,Benedenrijweg,Ridderkerk
28,2982CD,Beukenhof,Ridderkerk
291,2988AA,Lagendijk,Ridderkerk
53,2981AR,Geerlaan,Ridderkerk
13,2982BT,Seringenstraat,Ridderkerk
55,2982XK,Slotemaker de Bruïnestraat,Ridderkerk
88,2986GA,Paltrokmolen,Ridderkerk
20,2982PJ,Burgemeester Nieuwenhuisenplein,Ridderkerk
147,2986GC,Torenmolen,Ridderkerk
98,2986EE,Rosmolen,Ridderkerk
32,2986XC,Meerkoet,Ridderkerk
5,2985BG,Marsmanstraat,Ridderkerk
131,2986GA,Paltrokmolen,Ridderkerk
37,2986CP,Korhoen,Ridderkerk
7,2983HZ,Ambachtshof,Ridderkerk
151,2985XP,Middenmolendijk,Ridderkerk
153,2985XP,Middenmolendijk,Ridderkerk
92,2986VE,Koolmees,Ridderkerk
96,2986VE,Koolmees,Ridderkerk
95,2986VE,Koolmees,Ridderkerk
93,2986VE,Koolmees,Ridderkerk
30,2988AK,Mauritsweg,Ridderkerk
87,2983BN,Ravelstraat,Ridderkerk
85,2983BN,Ravelstraat,Ridderkerk
56,2983BN,Ravelstraat,Ridderkerk
72,2983BN,Ravelstraat,Ridderkerk
233,2983GD,Benedenrijweg,Ridderkerk
15,2983GJ,Prins Hendrikstraat,Ridderkerk
31,2985XA,Bilderdijklaan,Ridderkerk
64,2985XB,Bilderdijklaan,Ridderkerk
14,2985XB,Bilderdijklaan,Ridderkerk
62,2985XB,Bilderdijklaan,Ridderkerk
48,2985XB,Bilderdijklaan,Ridderkerk
44,2985XB,Bilderdijklaan,Ridderkerk
22,2985XB,Bilderdijklaan,Ridderkerk
56,2985XB,Bilderdijklaan,Ridderkerk
74,2985XB,Bilderdijklaan,Ridderkerk
19,2983HA,Graaf Adolfstraat,Ridderkerk
13,2983HA,Graaf Adolfstraat,Ridderkerk
9,2983HA,Graaf Adolfstraat,Ridderkerk
109,2983EP,Willemstraat,Ridderkerk
107,2983EP,Willemstraat,Ridderkerk
29,2983TM,Mecklenburgstraat,Ridderkerk
75,2983AN,Reijerweg,Ridderkerk
1,2987BN,Majubastraat,Ridderkerk
31,2983XL,Vivaldistraat,Ridderkerk
53,2984XD,Christine Mohrmannstraat,Ridderkerk
235,2986VR,Koolmees,Ridderkerk
27,2986XC,Meerkoet,Ridderkerk
31,2983CB,Dillenburgplein,Ridderkerk
100,2983AT,Reijerweg,Ridderkerk
8,2987CX,Vechtstraat,Ridderkerk
38,2983HH,Graaf Lodewijkstraat,Ridderkerk
14,2984ER,Zeemanstraat,Ridderkerk
92,2983CM,Ruwaardlaan,Ridderkerk
40,2987AK,Pretoriusstraat,Ridderkerk
31,2983EA,Amaliastraat,Ridderkerk
62,2983XK,Sweelinckstraat,Ridderkerk
150,2983RK,Nassaustraat,Ridderkerk
467,2987SV,Rijnsingel,Ridderkerk
1,2983BL,Ravelstraat,Ridderkerk
43,2983HA,Graaf Adolfstraat,Ridderkerk
78,2983VM,Van Anrooystraat,Ridderkerk
58,2985TJ,Herman de Manstraat,Ridderkerk
87,2986ED,Rosmolen,Ridderkerk
56,2985BB,Bellamystraat,Ridderkerk
9,2985BM,Staringlaan,Ridderkerk
202,2981AG,Burgemeester de Zeeuwstraat,Ridderkerk
47,2985CR,Van Eedenstraat,Ridderkerk
44,2983CM,Ruwaardlaan,Ridderkerk
17,2983BA,Bernhard Zweersstraat,Ridderkerk
63,2983BS,Van Beethovenstraat,Ridderkerk
16,2983BC,Bizetstraat,Ridderkerk
32,2985BD,De Mérodelaan,Ridderkerk
14,2985CG,De Genestetstraat,Ridderkerk
97,2987VJ,Dijkje,Ridderkerk
9,2987CB,Botlekstraat,Ridderkerk
30,2987TB,Dintelstraat,Ridderkerk
22,2982BC,Boksdoornstraat,Ridderkerk
46,2987CD,Gouwestraat,Ridderkerk
1,2987VT,Reggestraat,Ridderkerk
111,2983CS,Stadhouderslaan,Ridderkerk
185,2982BL,Seringenplantsoen,Ridderkerk
29,2982BG,Meidoornlaan,Ridderkerk
23,2986EA,Rosmolen,Ridderkerk
3,2982AS,Mr. Troelstrastraat,Ridderkerk
555,2985SP,Kloosplantsoen,Ridderkerk
3,2982RA,Jhr. De Savornin Lohmanstraat,Ridderkerk
19,2982AD,Dr. Schaepmanstraat,Ridderkerk
149,2983AR,Reijerweg,Ridderkerk
27,2983XC,Diepenbrockstraat,Ridderkerk
471,2983VL,Van Anrooystraat,Ridderkerk
267,2983VH,Van Anrooystraat,Ridderkerk
6,2982CK,Jasmijnstraat,Ridderkerk
453,2987TS,Spuistraat,Ridderkerk
569,2987SX,Rijnsingel,Ridderkerk
159,2986BJ,Zwaluw,Ridderkerk
49,2986GB,Torenmolen,Ridderkerk
11,2986PC,Zalm,Ridderkerk
52,2987AK,Pretoriusstraat,Ridderkerk
38,2985BJ,Multatulistraat,Ridderkerk
34,2987RA,Ankerplaats,Ridderkerk
107,2983TG,Hollandsestraat,Ridderkerk
73,2983TG,Hollandsestraat,Ridderkerk
8,2982VL,Jhr. Van Karnebeekweg,Ridderkerk
18,2981CK,Gerard Terborghstraat,Ridderkerk
48,2982RP,Mr. Kesperweg,Ridderkerk
26,2981CD,Frans Halsstraat,Ridderkerk
27,2982RA,Jhr. De Savornin Lohmanstraat,Ridderkerk
70,2982RH,Jhr. De Savornin Lohmanstraat,Ridderkerk
151,2982BJ,Seringenplantsoen,Ridderkerk
151,2987TJ,Spuistraat,Ridderkerk
275,2983CW,Stadhouderslaan,Ridderkerk
96,2981ET,Ridderhof,Ridderkerk
125,2985VS,Vondellaan,Ridderkerk
155,2985VS,Vondellaan,Ridderkerk
5,2984EK,Lorentzstraat,Ridderkerk
54,2987EN,Waterland,Ridderkerk
103,2986SK,Steur,Ridderkerk
16,2982RP,Mr. Kesperweg,Ridderkerk
3,2985CR,Van Eedenstraat,Ridderkerk
48,2985AC,Burgemeester de Zeeuwstraat,Ridderkerk
66,2985AC,Burgemeester de Zeeuwstraat,Ridderkerk
38,2985AC,Burgemeester de Zeeuwstraat,Ridderkerk
42,2986XC,Meerkoet,Ridderkerk
43,2986XC,Meerkoet,Ridderkerk
47,2986XC,Meerkoet,Ridderkerk
6,2986XD,Rietvink,Ridderkerk
38,2987CW,Slingehof,Ridderkerk
247,2985AS,Kerkweg,Ridderkerk
145,2986BJ,Zwaluw,Ridderkerk
23,2984BE,Scheepmakerstraat,Ridderkerk
74,2983CM,Ruwaardlaan,Ridderkerk
113,2984GL,Erasmuspark,Ridderkerk
64,2986JA,Voorn,Ridderkerk
47,2986JA,Voorn,Ridderkerk
41,2986HA,Brasem,Ridderkerk
147,2981BK,Fresiastraat,Ridderkerk
27,2984VH,Voorzand,Ridderkerk
27,2984BH,Voorzand,Ridderkerk
21,2987RA,Ankerplaats,Ridderkerk
10,2983EH,Prinses Margrietstraat,Ridderkerk
134,2986CM,Fazant,Ridderkerk
47,2987BC,Boezemkade,Ridderkerk
234,2989AN,Pruimendijk,Ridderkerk
23,2982VA,Groen van Prinstererweg,Ridderkerk
131,2985SC,Kloosplantsoen,Ridderkerk
6,2987BT,Paul Krugerstraat,Ridderkerk
110,2986RA,Forel,Ridderkerk
143,2988AW,Waaldijk,Ridderkerk
333,2987SN,Rijnsingel,Ridderkerk
67,2986NC,Tarbot,Ridderkerk
27,2987RB,Dokhof,Ridderkerk
34,2983SG,Beiersestraat,Ridderkerk
