8603XR,27,,Looxmastraat,Sneek
8607EV,26,,Wilgeroosje,Sneek
8607AD,19,,Prinsengracht,Sneek
8601BX,7,,Gedempte Pol,Sneek
8601BX,9,,Gedempte Pol,Sneek
8602VS,76,,Spitaal,Sneek
8602VS,75,,Spitaal,Sneek
8603VW,11,,Vesperstraat,Sneek
8603XE,20,,Kloosterhof,Sneek
8601BX,11,,Gedempte Pol,Sneek
8601AH,57,,Singel,Sneek
8601BX,13,,Gedempte Pol,Sneek
8607CA,15,,Hanso Mollstraat,Sneek
8607EV,35,,Wilgeroosje,Sneek
8601BX,21,,Gedempte Pol,Sneek
8601BX,23,,Gedempte Pol,Sneek
8607CA,19,,Hanso Mollstraat,Sneek
8603XD,15,,Kloosterhof,Sneek
8603XD,13,,Kloosterhof,Sneek
8602CK,44,,Breewijd,Sneek
8603XK,7,,Schoolstraat,Sneek
8602VS,77,,Spitaal,Sneek
8607EV,27,,Wilgeroosje,Sneek
8603VW,3,,Vesperstraat,Sneek
8607EV,36,,Wilgeroosje,Sneek
8601CC,4,,Wijde Burgstraat,Sneek
8603XP,24,,Rozenstraat,Sneek
8603XB,32,,Parallelweg,Sneek
8603XJ,38,,Kloosterstraat,Sneek
8601BX,25,,Gedempte Pol,Sneek
8603XD,19,,Kloosterhof,Sneek
8603XB,34,,Parallelweg,Sneek
8602VS,78,,Spitaal,Sneek
8601AW,6,,Grootzand,Sneek
8601AW,4,,Grootzand,Sneek
8602CK,29,,Breewijd,Sneek
8601BD,1,,Suupmarkt,Sneek
8601BD,3,,Suupmarkt,Sneek
8601BD,7,,Suupmarkt,Sneek
8601CE,2,,Schaapmarktplein,Sneek
8601AX,36,,Grootzand,Sneek
8607CA,3,,Hanso Mollstraat,Sneek
8602VS,80,,Spitaal,Sneek
8603XK,9,,Schoolstraat,Sneek
8602VS,79,,Spitaal,Sneek
8607CA,11,,Hanso Mollstraat,Sneek
8607GG,1,,Zilverschoon,Sneek
8603XD,25,,Kloosterhof,Sneek
8607EK,79,,Rode Klaver,Sneek
8603VW,1,,Vesperstraat,Sneek
8607EK,83,,Rode Klaver,Sneek
8607EK,85,,Rode Klaver,Sneek
8607EK,87,,Rode Klaver,Sneek
8602VP,5,,Spitaal,Sneek
8607EK,77,,Rode Klaver,Sneek
8607EK,81,,Rode Klaver,Sneek
8603XR,25,,Looxmastraat,Sneek
8607GA,12,,Zilverschoon,Sneek
8607EK,93,,Rode Klaver,Sneek
8603XB,30,,Parallelweg,Sneek
8603XB,31,,Parallelweg,Sneek
8602DA,10,,Slufter,Sneek
8607AD,16,,Prinsengracht,Sneek
8607EV,62,,Wilgeroosje,Sneek
8603AB,9,,Looxmagracht,Sneek
8607EV,61,,Wilgeroosje,Sneek
8607EK,89,,Rode Klaver,Sneek
8607EK,91,,Rode Klaver,Sneek
8603XK,11,,Schoolstraat,Sneek
8607GG,3,,Zilverschoon,Sneek
8607GG,5,,Zilverschoon,Sneek
8607CB,8,,Hanso Mollstraat,Sneek
8607CA,5,,Hanso Mollstraat,Sneek
8603XR,19,,Looxmastraat,Sneek
8602VP,4,,Spitaal,Sneek
8607CA,7,,Hanso Mollstraat,Sneek
8601AN,2,,Korte Pijpsteeg,Sneek
8607CB,6,,Hanso Mollstraat,Sneek
8607CA,9,,Hanso Mollstraat,Sneek
8603XD,27,,Kloosterhof,Sneek
8602CK,40,,Breewijd,Sneek
8603XJ,46,,Kloosterstraat,Sneek
8603XE,26,,Kloosterhof,Sneek
8601AX,46,,Grootzand,Sneek
8603XG,3,,Kloosterstraat,Sneek
8607EV,60,,Wilgeroosje,Sneek
8603XP,18,,Rozenstraat,Sneek
8603AB,8,,Looxmagracht,Sneek
8607GG,7,,Zilverschoon,Sneek
8602VP,3,,Spitaal,Sneek
8603XR,17,,Looxmastraat,Sneek
8601AB,25,,Kleine Palen,Sneek
8601AB,27,,Kleine Palen,Sneek
8601AC,16,,Rienck Bockemakade,Sneek
8601BD,11,,Suupmarkt,Sneek
8601BD,13,,Suupmarkt,Sneek
