5688LK,26,,Nieuwedijk,Oirschot
5688VM,20,,de Schepen,Oirschot
5688DK,37,,Raffendonkstraat,Oirschot
5688VH,15,,de Schutter,Oirschot
5688RD,7,,van Aerlestraat,Oirschot
5688KE,112,,Spoordonkseweg,Oirschot
5688KM,5,,Sweerts de Landasstraat,Oirschot
5688RD,15,,van Aerlestraat,Oirschot
5688CG,22,,Kortenaarlaan,Oirschot
5688ES,36,,Kapittelhof,Oirschot
5688PK,17,,Nevenakker,Oirschot
5688DG,8,,Kremerstraat,Oirschot
5688KC,113,,Spoordonkseweg,Oirschot
5688TJ,3,,Schutsboom,Oirschot
5688KK,9,,Pandgat,Oirschot
5688PV,6,,Mostakker,Oirschot
5688RD,29,,van Aerlestraat,Oirschot
5688AC,37,,Molenstraat,Oirschot
5688PL,15,,Moerevelt,Oirschot
5688GN,36,,Eindhovensedijk,Oirschot
5688BZ,17,,Hulte,Oirschot
5688PB,13,,Cloete,Oirschot
5688RR,16,,de Dries,Oirschot
5688NH,5,,Pallande,Oirschot
5688NM,12,,Montfortlaan,Oirschot
5688BX,2,,Kwinkert,Oirschot
5688RR,30,,de Dries,Oirschot
5688DC,8,,Ekkermanstraat,Oirschot
5688CK,15,,Michiel de Ruyterlaan,Oirschot
5688PP,34,,Sleebos,Oirschot
5688VK,19,,de Schout,Oirschot
5688PP,12,,Sleebos,Oirschot
5688LK,31,,Nieuwedijk,Oirschot
5688PH,20,,Castaert,Oirschot
5688EB,1,,Dr van Wamelstraat,Oirschot
5688EN,1,,'t Kasteeltje,Oirschot
5688EE,3,,Cantorij,Oirschot
5688CM,1,,Jan van Speyklaan,Oirschot
5688KE,98,,Spoordonkseweg,Oirschot
5688CW,3,,de Kastanjehof,Oirschot
5688LP,1,,Steenrijt,Oirschot
5688BE,8,,Nieuwstraat,Oirschot
5688PK,7,,Nevenakker,Oirschot
5688NB,19,,Notel,Oirschot
5688RH,12,,van Heesterbeeckstraat,Oirschot
5688AX,2,,Gasthuisstraat,Oirschot
5688MK,4,,Lopensestraat,Oirschot
5688TT,38,,de Toog,Oirschot
5688RH,14,,van Heesterbeeckstraat,Oirschot
5688LK,25,,Nieuwedijk,Oirschot
5688CM,8,,Jan van Speyklaan,Oirschot
5688NK,8,,de Bollen,Oirschot
5688GH,13,,Slingerbos,Oirschot
5688BS,6,,Jan van Galenstraat,Oirschot
5688TN,10,,Kruisboog,Oirschot
5688GS,1,,Hoeven,Oirschot
5688CC,1,,Punder,Oirschot
5688CH,13,,de Helleweikes,Oirschot
