5212AN,66,,Ophoviuslaan,'s-Hertogenbosch
5212AN,70,,Ophoviuslaan,'s-Hertogenbosch
5212AL,71,,Ophoviuslaan,'s-Hertogenbosch
5212AP,72,,Ophoviuslaan,'s-Hertogenbosch
5212AL,75,,Ophoviuslaan,'s-Hertogenbosch
5211KE,85,,Kerkstraat,'s-Hertogenbosch
5211KE,87,,Kerkstraat,'s-Hertogenbosch
5222AL,3,,Ketelaarskampweg,'s-Hertogenbosch
5222AL,5,,Ketelaarskampweg,'s-Hertogenbosch
5222AL,9,,Ketelaarskampweg,'s-Hertogenbosch
5222AL,15,,Ketelaarskampweg,'s-Hertogenbosch
5222AL,17,,Ketelaarskampweg,'s-Hertogenbosch
5222AL,25,,Ketelaarskampweg,'s-Hertogenbosch
5222AL,46,,Ketelaarskampweg,'s-Hertogenbosch
5222AL,50,,Ketelaarskampweg,'s-Hertogenbosch
5222AL,58,,Ketelaarskampweg,'s-Hertogenbosch
5223RN,33,,Marco Polostraat,'s-Hertogenbosch
5223RR,34,,Marco Polostraat,'s-Hertogenbosch
5223RN,35,,Marco Polostraat,'s-Hertogenbosch
5223RR,36,,Marco Polostraat,'s-Hertogenbosch
5216AE,1,,Maresiusplantsoen,'s-Hertogenbosch
5216HC,46,,Zuiderparkweg,'s-Hertogenbosch
5231XL,2,,Margarethalaan,'s-Hertogenbosch
5231XL,3,,Margarethalaan,'s-Hertogenbosch
5231XL,4,,Margarethalaan,'s-Hertogenbosch
5231XL,7,,Margarethalaan,'s-Hertogenbosch
5231XL,8,,Margarethalaan,'s-Hertogenbosch
5231XL,11,,Margarethalaan,'s-Hertogenbosch
5231XL,15,,Margarethalaan,'s-Hertogenbosch
5231XL,17,,Margarethalaan,'s-Hertogenbosch
5231XL,19,,Margarethalaan,'s-Hertogenbosch
5231XL,25,,Margarethalaan,'s-Hertogenbosch
5231XL,27,,Margarethalaan,'s-Hertogenbosch
5231XL,29,,Margarethalaan,'s-Hertogenbosch
5231XL,31,,Margarethalaan,'s-Hertogenbosch
5216AA,1,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AC,2,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AA,3,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AC,4,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AA,9,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AC,10,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AA,11,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AA,13,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AC,14,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AB,15,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AC,16,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AB,17,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AC,20,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AB,21,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AB,23,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AB,25,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AC,26,,Maria van Bourgondiësingel,'s-Hertogenbosch
5216AC,30,,Maria van Bourgondiësingel,'s-Hertogenbosch
5224GW,2,,Mariniersstraat,'s-Hertogenbosch
5224GV,3,,Mariniersstraat,'s-Hertogenbosch
5224GW,4,,Mariniersstraat,'s-Hertogenbosch
5224GV,5,,Mariniersstraat,'s-Hertogenbosch
5224GV,7,,Mariniersstraat,'s-Hertogenbosch
5223XJ,78,,Oeterselaan,'s-Hertogenbosch
5223XD,79,,Oeterselaan,'s-Hertogenbosch
5223XJ,80,,Oeterselaan,'s-Hertogenbosch
5223XD,81,,Oeterselaan,'s-Hertogenbosch
5223XD,83,,Oeterselaan,'s-Hertogenbosch
5223XD,85,,Oeterselaan,'s-Hertogenbosch
5223XD,87,,Oeterselaan,'s-Hertogenbosch
5223XD,91,,Oeterselaan,'s-Hertogenbosch
5223XD,93,,Oeterselaan,'s-Hertogenbosch
5223XD,97,,Oeterselaan,'s-Hertogenbosch
5223XD,99,,Oeterselaan,'s-Hertogenbosch
5223XD,101,,Oeterselaan,'s-Hertogenbosch
5223XD,103,,Oeterselaan,'s-Hertogenbosch
5223XD,105,,Oeterselaan,'s-Hertogenbosch
5223XD,107,,Oeterselaan,'s-Hertogenbosch
5223XD,113,,Oeterselaan,'s-Hertogenbosch
5223XD,115,,Oeterselaan,'s-Hertogenbosch
5223XE,117,,Oeterselaan,'s-Hertogenbosch
5223XE,119,,Oeterselaan,'s-Hertogenbosch
5223XE,121,,Oeterselaan,'s-Hertogenbosch
5223XE,123,,Oeterselaan,'s-Hertogenbosch
5223XE,125,,Oeterselaan,'s-Hertogenbosch
5223XE,129,,Oeterselaan,'s-Hertogenbosch
5223XE,131,,Oeterselaan,'s-Hertogenbosch
5223XE,135,,Oeterselaan,'s-Hertogenbosch
5223XE,137,,Oeterselaan,'s-Hertogenbosch
5223XE,139,,Oeterselaan,'s-Hertogenbosch
5211VL,1,,Oisterwijkstraat,'s-Hertogenbosch
5211VL,2,,Oisterwijkstraat,'s-Hertogenbosch
5245AB,8,,Fortissimostraat,Rosmalen
5245AB,10,,Fortissimostraat,Rosmalen
5216PP,59,,Pettelaarpark,'s-Hertogenbosch
5213AM,90,,Graafseweg,'s-Hertogenbosch
5213AM,92,,Graafseweg,'s-Hertogenbosch
5213AM,94,,Graafseweg,'s-Hertogenbosch
5213AM,96,,Graafseweg,'s-Hertogenbosch
5211KH,44,,Kerkstraat,'s-Hertogenbosch
5211KH,48,,Kerkstraat,'s-Hertogenbosch
5211KH,50,,Kerkstraat,'s-Hertogenbosch
5211KH,52,,Kerkstraat,'s-Hertogenbosch
5211KH,54,,Kerkstraat,'s-Hertogenbosch
5211KH,60,,Kerkstraat,'s-Hertogenbosch
5211KH,62,,Kerkstraat,'s-Hertogenbosch
5211KE,63,,Kerkstraat,'s-Hertogenbosch
5211KE,71,,Kerkstraat,'s-Hertogenbosch
