1422WN,110,,Vogellaan,Uithoorn
1422WN,112,,Vogellaan,Uithoorn
1422WN,114,,Vogellaan,Uithoorn
1422WN,116,,Vogellaan,Uithoorn
1422WN,118,,Vogellaan,Uithoorn
1422WN,120,,Vogellaan,Uithoorn
1422WN,122,,Vogellaan,Uithoorn
1422ZN,11,,Rugstreeppad,Uithoorn
1422ZN,13,,Rugstreeppad,Uithoorn
1422ZN,15,,Rugstreeppad,Uithoorn
1422ZN,17,,Rugstreeppad,Uithoorn
1422ZN,19,,Rugstreeppad,Uithoorn
1422ZN,12,,Rugstreeppad,Uithoorn
1422ZN,14,,Rugstreeppad,Uithoorn
1422ZN,16,,Rugstreeppad,Uithoorn
1422ZN,18,,Rugstreeppad,Uithoorn
1422WN,124,,Vogellaan,Uithoorn
1422WN,126,,Vogellaan,Uithoorn
1422WN,128,,Vogellaan,Uithoorn
1422WN,130,,Vogellaan,Uithoorn
1422WN,132,,Vogellaan,Uithoorn
1422ZM,2,,Ringslang,Uithoorn
1422ZM,4,,Ringslang,Uithoorn
1422ZM,6,,Ringslang,Uithoorn
1422WN,134,,Vogellaan,Uithoorn
1422WN,136,,Vogellaan,Uithoorn
1422WN,138,,Vogellaan,Uithoorn
1422NE,120,,Randhoornweg,Uithoorn
1423SG,24,,Grote Lijster,Uithoorn
1423SG,26,,Grote Lijster,Uithoorn
1423SG,28,,Grote Lijster,Uithoorn
1423SG,30,,Grote Lijster,Uithoorn
1423SG,32,,Grote Lijster,Uithoorn
1423SG,34,,Grote Lijster,Uithoorn
1423SG,36,,Grote Lijster,Uithoorn
1423SG,38,,Grote Lijster,Uithoorn
1423SE,81,,Grote Lijster,Uithoorn
1423SE,83,,Grote Lijster,Uithoorn
1423SE,85,,Grote Lijster,Uithoorn
1423SE,87,,Grote Lijster,Uithoorn
1423SE,89,,Grote Lijster,Uithoorn
1423SE,91,,Grote Lijster,Uithoorn
1423SE,93,,Grote Lijster,Uithoorn
1423SE,95,,Grote Lijster,Uithoorn
1423SH,40,,Harlekijneend,Uithoorn
1423SE,97,,Grote Lijster,Uithoorn
1423SG,2,,Grote Lijster,Uithoorn
1423SG,4,,Grote Lijster,Uithoorn
1423SG,6,,Grote Lijster,Uithoorn
1423SG,8,,Grote Lijster,Uithoorn
1423SG,10,,Grote Lijster,Uithoorn
1423SG,12,,Grote Lijster,Uithoorn
1423SG,14,,Grote Lijster,Uithoorn
1423SG,16,,Grote Lijster,Uithoorn
1423SG,18,,Grote Lijster,Uithoorn
1423SG,20,,Grote Lijster,Uithoorn
1423SG,22,,Grote Lijster,Uithoorn
1423SE,51,,Grote Lijster,Uithoorn
1423SE,53,,Grote Lijster,Uithoorn
1423SE,55,,Grote Lijster,Uithoorn
1423SE,57,,Grote Lijster,Uithoorn
1423SE,59,,Grote Lijster,Uithoorn
1423SE,61,,Grote Lijster,Uithoorn
1423SE,63,,Grote Lijster,Uithoorn
1423SE,65,,Grote Lijster,Uithoorn
1423SE,67,,Grote Lijster,Uithoorn
1423SE,69,,Grote Lijster,Uithoorn
1423SE,71,,Grote Lijster,Uithoorn
1423SE,73,,Grote Lijster,Uithoorn
1423SE,75,,Grote Lijster,Uithoorn
1423SE,77,,Grote Lijster,Uithoorn
1423SE,79,,Grote Lijster,Uithoorn
1423SB,1,,Grote Lijster,Uithoorn
1423PS,78,,Grauwe Gans,Uithoorn
1423PS,80,,Grauwe Gans,Uithoorn
1423DE,1,,Grebbe,Uithoorn
1423SP,78,,Witkopeend,Uithoorn
1423SP,80,,Witkopeend,Uithoorn
1423SP,82,,Witkopeend,Uithoorn
1423SP,84,,Witkopeend,Uithoorn
1423SM,13,,Witkopeend,Uithoorn
1423SM,15,,Witkopeend,Uithoorn
1423SK,39,,Bergeend,Uithoorn
1423SK,41,,Bergeend,Uithoorn
1423SK,43,,Bergeend,Uithoorn
1423SL,14,,Bergeend,Uithoorn
1423SL,16,,Bergeend,Uithoorn
1423PP,45,,Grauwe Gans,Uithoorn
1423PP,47,,Grauwe Gans,Uithoorn
1423PP,49,,Grauwe Gans,Uithoorn
1423PS,52,,Grauwe Gans,Uithoorn
1423PS,54,,Grauwe Gans,Uithoorn
1423PS,56,,Grauwe Gans,Uithoorn
1423PS,58,,Grauwe Gans,Uithoorn
1423PS,60,,Grauwe Gans,Uithoorn
1423PS,62,,Grauwe Gans,Uithoorn
1423PS,64,,Grauwe Gans,Uithoorn
1423PS,66,,Grauwe Gans,Uithoorn
1423PS,68,,Grauwe Gans,Uithoorn
