7951XJ,7,,Tarwehof,Staphorst
7951XJ,9,,Tarwehof,Staphorst
7951XJ,23,,Tarwehof,Staphorst
7951XJ,25,,Tarwehof,Staphorst
7951XJ,33,,Tarwehof,Staphorst
7951XJ,31,,Tarwehof,Staphorst
7951XD,25,,Boekweitveld,Staphorst
7951XD,31,,Boekweitveld,Staphorst
7951XD,27,,Boekweitveld,Staphorst
7951XD,29,,Boekweitveld,Staphorst
7951PE,314,BIJ,Gemeenteweg,Staphorst
7951PC,363,BIJ,Gemeenteweg,Staphorst
7715PC,4,BIJ,Keppelweg,Punthorst
7951TA,51,,Industrieweg,Staphorst
7951GD,466,,Oude Rijksweg,Rouveen
7951XK,1,,Haverveld,Staphorst
7951XK,3,,Haverveld,Staphorst
7951XK,9,,Haverveld,Staphorst
7951XK,11,,Haverveld,Staphorst
7951SN,2,,Weth Wassebaliestraat,Staphorst
7955BD,57,,Ywehof,IJhorst
7955BD,59,,Ywehof,IJhorst
7951SM,8,,Weth Buitenhuisstraat,Staphorst
7951XJ,35,,Tarwehof,Staphorst
7951XJ,37,,Tarwehof,Staphorst
7951BR,35,,Meestersweg,Staphorst
7951BR,33,,Meestersweg,Staphorst
7951BR,31,,Meestersweg,Staphorst
7951BR,41,,Meestersweg,Staphorst
7951BR,43,,Meestersweg,Staphorst
7951BR,37,,Meestersweg,Staphorst
7951BR,39,,Meestersweg,Staphorst
7951BR,49,,Meestersweg,Staphorst
7951BR,51,,Meestersweg,Staphorst
7951BR,45,,Meestersweg,Staphorst
7951BR,47,,Meestersweg,Staphorst
7951WE,2,,De Eugte,Staphorst
7951WJ,1,,De Meente,Staphorst
7951SB,10,,Weth Ohmannstraat,Staphorst
7951WJ,3,,De Meente,Staphorst
7951WJ,5,,De Meente,Staphorst
7951WJ,7,,De Meente,Staphorst
7951WJ,9,,De Meente,Staphorst
7951WJ,9,DUBB,De Meente,Staphorst
7951SH,15,,Weth Timmermanstraat,Staphorst
7954XT,3,,Molenhoeksweg,Rouveen
7951SN,7,,Weth Wassebaliestraat,Staphorst
7951LB,186,,Ebbinge Wubbenlaan,Staphorst
7951LB,188,,Ebbinge Wubbenlaan,Staphorst
7951LB,190,,Ebbinge Wubbenlaan,Staphorst
7951LB,192,,Ebbinge Wubbenlaan,Staphorst
7951LB,194,,Ebbinge Wubbenlaan,Staphorst
7951LB,196,,Ebbinge Wubbenlaan,Staphorst
7951LB,198,,Ebbinge Wubbenlaan,Staphorst
7951LB,200,,Ebbinge Wubbenlaan,Staphorst
7951LB,202,,Ebbinge Wubbenlaan,Staphorst
7951LB,204,,Ebbinge Wubbenlaan,Staphorst
7951LB,226,,Ebbinge Wubbenlaan,Staphorst
7951LB,228,,Ebbinge Wubbenlaan,Staphorst
7951LB,230,,Ebbinge Wubbenlaan,Staphorst
7951LB,232,,Ebbinge Wubbenlaan,Staphorst
7951LB,234,,Ebbinge Wubbenlaan,Staphorst
7951LB,236,,Ebbinge Wubbenlaan,Staphorst
7951LB,238,,Ebbinge Wubbenlaan,Staphorst
7951LB,240,,Ebbinge Wubbenlaan,Staphorst
7951LB,242,,Ebbinge Wubbenlaan,Staphorst
7951LB,206,,Ebbinge Wubbenlaan,Staphorst
7951LB,208,,Ebbinge Wubbenlaan,Staphorst
7951LB,210,,Ebbinge Wubbenlaan,Staphorst
7951LB,212,,Ebbinge Wubbenlaan,Staphorst
7951LB,214,,Ebbinge Wubbenlaan,Staphorst
7951LB,216,,Ebbinge Wubbenlaan,Staphorst
7951LB,218,,Ebbinge Wubbenlaan,Staphorst
7951LB,220,,Ebbinge Wubbenlaan,Staphorst
