6981LE,20,,IJsselkade,Doesburg
6981DN,9,,Zandbergstraat,Doesburg
6981DN,19,,Zandbergstraat,Doesburg
6981DN,27,,Zandbergstraat,Doesburg
6982BJ,8,,Hortensiastraat,Doesburg
6981GA,17,,Prins Hendrikstraat,Doesburg
6983AB,10,,Parallelweg,Doesburg
6981HR,25,,Armgardstraat,Doesburg
6981HR,35,,Armgardstraat,Doesburg
6981HR,47,,Armgardstraat,Doesburg
6981HR,57,,Armgardstraat,Doesburg
6983CA,78,,Zanderskamp,Doesburg
6983CE,83,,Zanderskamp,Doesburg
6983CG,89,,Zanderskamp,Doesburg
6983CB,94,,Zanderskamp,Doesburg
6983CG,99,,Zanderskamp,Doesburg
6983CG,107,,Zanderskamp,Doesburg
6983CB,112,,Zanderskamp,Doesburg
6982CZ,2,,Koppenberch,Doesburg
6982CZ,20,,Koppenberch,Doesburg
6982CZ,8,,Koppenberch,Doesburg
6982CZ,12,,Koppenberch,Doesburg
6982CZ,18,,Koppenberch,Doesburg
6982CZ,14,,Koppenberch,Doesburg
6982CZ,4,,Koppenberch,Doesburg
6982CZ,6,,Koppenberch,Doesburg
6982CZ,10,,Koppenberch,Doesburg
6982CZ,16,,Koppenberch,Doesburg
6981ED,1,,Het Hoornwerck,Doesburg
6981ED,4,,Het Hoornwerck,Doesburg
6981ED,2,,Het Hoornwerck,Doesburg
6981ED,3,,Het Hoornwerck,Doesburg
6981ED,5,,Het Hoornwerck,Doesburg
6983HV,2,,Sandtakker,Doesburg
6982DT,2,,Den Helder,Doesburg
6983HZ,28,,Grote Biesem,Doesburg
6983HS,28,,Benscamp,Doesburg
6981HH,66,,Kraakselaan,Doesburg
6981DV,6,,Ooipoortstraat,Doesburg
6981CH,6,,Kosterstraat,Doesburg
6983HS,10,,Benscamp,Doesburg
6981CK,23,,Kerkstraat,Doesburg
6981CH,4,,Kosterstraat,Doesburg
6983HS,20,,Benscamp,Doesburg
6981DW,46,,Ooipoortstraat,Doesburg
6981DV,2,,Ooipoortstraat,Doesburg
6981DV,4,,Ooipoortstraat,Doesburg
6981GG,18,,Prins Bernhardplein,Doesburg
6981GG,20,,Prins Bernhardplein,Doesburg
6981GG,22,,Prins Bernhardplein,Doesburg
6981GG,24,,Prins Bernhardplein,Doesburg
6981GL,22,,Beatrixstraat,Doesburg
6981GL,24,,Beatrixstraat,Doesburg
6981GL,26,,Beatrixstraat,Doesburg
6981GL,28,,Beatrixstraat,Doesburg
6981GP,42,,Beatrixstraat,Doesburg
6981GP,44,,Beatrixstraat,Doesburg
6981GP,46,,Beatrixstraat,Doesburg
6981GP,48,,Beatrixstraat,Doesburg
6981GP,50,,Beatrixstraat,Doesburg
6983BR,11,,Leigraafseweg,Doesburg
6983HW,46,,Blomenbrinck,Doesburg
6983HW,48,,Blomenbrinck,Doesburg
6981CM,57,,Kerkstraat,Doesburg
6984AA,7,,Verhuellweg,Doesburg
6981DM,4,,Helmichstraat,Doesburg
6983HW,2,,Blomenbrinck,Doesburg
6983HW,4,,Blomenbrinck,Doesburg
6983HW,6,,Blomenbrinck,Doesburg
6983HW,8,,Blomenbrinck,Doesburg
6983HW,10,,Blomenbrinck,Doesburg
6983HR,1,,De Strijp,Doesburg
6983HR,3,,De Strijp,Doesburg
6983HR,5,,De Strijp,Doesburg
6983HR,7,,De Strijp,Doesburg
6983HR,9,,De Strijp,Doesburg
6983HR,11,,De Strijp,Doesburg
6983HR,13,,De Strijp,Doesburg
6983HR,15,,De Strijp,Doesburg
6983HS,30,,Benscamp,Doesburg
6983HS,32,,Benscamp,Doesburg
6983HS,34,,Benscamp,Doesburg
6983HS,36,,Benscamp,Doesburg
6983HS,38,,Benscamp,Doesburg
6983HV,1,,Sandtakker,Doesburg
6983HV,3,,Sandtakker,Doesburg
6983HV,5,,Sandtakker,Doesburg
6983HV,7,,Sandtakker,Doesburg
6983HV,9,,Sandtakker,Doesburg
6983HV,11,,Sandtakker,Doesburg
6981CK,13,,Kerkstraat,Doesburg
6983DA,22,,Oranjesingel,Doesburg
6983DA,24,,Oranjesingel,Doesburg
6981BH,14,,Philippus Gastelaarsstraat,Doesburg
6981DR,16,,Zandbergstraat,Doesburg
6981HG,12,,Kraakselaan,Doesburg
6981HG,14,,Kraakselaan,Doesburg
6981HG,16,,Kraakselaan,Doesburg
6981HG,18,,Kraakselaan,Doesburg
6983HZ,8,,Grote Biesem,Doesburg
6982DV,2,,Parallelweg Den Helder,Doesburg
6981EC,6,,Barend Ubbinkweg,Doesburg
6981CD,4,,Kloosterstraat,Doesburg
6981CG,7,,Kosterstraat,Doesburg
6983HS,8,,Benscamp,Doesburg
