5013BA,7,,Insulindestraat,Tilburg
5037GE,200,,Hogeschoollaan,Tilburg
5013BA,6,,Insulindestraat,Tilburg
5042PK,12,12,Van Maarseveenstraat,Tilburg
5042PK,12,10,Van Maarseveenstraat,Tilburg
5042PK,12,14,Van Maarseveenstraat,Tilburg
5042PK,12,16,Van Maarseveenstraat,Tilburg
5042PK,12,15,Van Maarseveenstraat,Tilburg
5042PK,12,08,Van Maarseveenstraat,Tilburg
5042PK,12,02,Van Maarseveenstraat,Tilburg
5042PK,12,01,Van Maarseveenstraat,Tilburg
5042PK,12,03,Van Maarseveenstraat,Tilburg
5042PK,12,06,Van Maarseveenstraat,Tilburg
5042PK,12,04,Van Maarseveenstraat,Tilburg
5056DK,49,,Jonagold,Berkel-Enschot
5056DK,51,,Jonagold,Berkel-Enschot
5056DK,53,,Jonagold,Berkel-Enschot
5056DK,55,,Jonagold,Berkel-Enschot
5056DK,57,,Jonagold,Berkel-Enschot
