6418KZ,128,,Akkerhof,Heerlen
6418KZ,130,,Akkerhof,Heerlen
6418KZ,132,,Akkerhof,Heerlen
6418KZ,134,,Akkerhof,Heerlen
6418KZ,136,,Akkerhof,Heerlen
6418KZ,142,,Akkerhof,Heerlen
6418KZ,144,,Akkerhof,Heerlen
6418KZ,146,,Akkerhof,Heerlen
6412HL,34,,Jos Cuypersstraat,Heerlen
6412HL,36,,Jos Cuypersstraat,Heerlen
6412BE,24,,Grasbroekerweg,Heerlen
6411RR,50,,Antwerpseweg - N281,Heerlen
6412HH,182,,Zeswegenlaan,Heerlen
6412HH,183,,Zeswegenlaan,Heerlen
6433KE,120,,De Koumen,Hoensbroek
6418KZ,109,,Akkerhof,Heerlen
6418KZ,111,,Akkerhof,Heerlen
6418KZ,113,,Akkerhof,Heerlen
6418KZ,115,,Akkerhof,Heerlen
6418KZ,117,,Akkerhof,Heerlen
6418KZ,119,,Akkerhof,Heerlen
6418KZ,121,,Akkerhof,Heerlen
6418KZ,123,,Akkerhof,Heerlen
6418KZ,125,,Akkerhof,Heerlen
6418KZ,127,,Akkerhof,Heerlen
6418KZ,129,,Akkerhof,Heerlen
6418KZ,131,,Akkerhof,Heerlen
6418KZ,133,,Akkerhof,Heerlen
6418KZ,135,,Akkerhof,Heerlen
6418KZ,141,,Akkerhof,Heerlen
6418KZ,143,,Akkerhof,Heerlen
6418KZ,145,,Akkerhof,Heerlen
6431NK,68,,Slakkenstraat,Hoensbroek
6431NK,70,,Slakkenstraat,Hoensbroek
6431NK,72,,Slakkenstraat,Hoensbroek
6431NK,74,,Slakkenstraat,Hoensbroek
6431NK,76,,Slakkenstraat,Hoensbroek
6418KV,1,,Akkerhof,Heerlen
6418KV,2,,Akkerhof,Heerlen
6418KV,3,,Akkerhof,Heerlen
6418KV,4,,Akkerhof,Heerlen
6418KV,5,,Akkerhof,Heerlen
6418KV,6,,Akkerhof,Heerlen
6418KV,25,,Akkerhof,Heerlen
6418KV,26,,Akkerhof,Heerlen
6418KV,27,,Akkerhof,Heerlen
6418KV,28,,Akkerhof,Heerlen
6418KV,29,,Akkerhof,Heerlen
6418KV,30,,Akkerhof,Heerlen
6418KV,31,,Akkerhof,Heerlen
6418KV,32,,Akkerhof,Heerlen
6418KV,33,,Akkerhof,Heerlen
6418KV,34,,Akkerhof,Heerlen
6418KV,35,,Akkerhof,Heerlen
6418KV,36,,Akkerhof,Heerlen
6418KV,37,,Akkerhof,Heerlen
6418KV,38,,Akkerhof,Heerlen
6418KV,39,,Akkerhof,Heerlen
6418KV,40,,Akkerhof,Heerlen
6418KV,41,,Akkerhof,Heerlen
6418KX,80,,Akkerhof,Heerlen
6418KX,82,,Akkerhof,Heerlen
6418KX,84,,Akkerhof,Heerlen
6418KX,86,,Akkerhof,Heerlen
6418KX,88,,Akkerhof,Heerlen
6418KX,90,,Akkerhof,Heerlen
6418KX,92,,Akkerhof,Heerlen
6418KX,94,,Akkerhof,Heerlen
6418KX,96,,Akkerhof,Heerlen
6418KX,98,,Akkerhof,Heerlen
6418KX,100,,Akkerhof,Heerlen
6411LT,6,,Saroleastraat,Heerlen
6414GG,10,,Zes Landenstraat,Heerlen
6433HZ,1,,Lotbroekerweg,Hoensbroek
6433HZ,3,,Lotbroekerweg,Hoensbroek
6433HZ,5,,Lotbroekerweg,Hoensbroek
6433HZ,7,,Lotbroekerweg,Hoensbroek
6433HZ,9,,Lotbroekerweg,Hoensbroek
6433HZ,11,,Lotbroekerweg,Hoensbroek
6433HZ,13,,Lotbroekerweg,Hoensbroek
6433HZ,15,,Lotbroekerweg,Hoensbroek
6433HZ,17,,Lotbroekerweg,Hoensbroek
6433HZ,21,,Lotbroekerweg,Hoensbroek
6433HZ,23,,Lotbroekerweg,Hoensbroek
