6687BS,30,,Emmastraat,Angeren
6687BP,31,,Emmastraat,Angeren
6687BS,32,,Emmastraat,Angeren
6687BP,33,,Emmastraat,Angeren
6687BS,34,,Emmastraat,Angeren
6687BP,35,,Emmastraat,Angeren
6687BS,36,,Emmastraat,Angeren
6687BP,37,,Emmastraat,Angeren
6687BS,38,,Emmastraat,Angeren
6687BP,39,,Emmastraat,Angeren
6687BT,40,,Emmastraat,Angeren
6687BP,41,,Emmastraat,Angeren
6687BT,42,,Emmastraat,Angeren
6687BP,43,,Emmastraat,Angeren
6687BT,44,,Emmastraat,Angeren
6687BP,45,,Emmastraat,Angeren
6687BT,46,,Emmastraat,Angeren
6687BT,48,,Emmastraat,Angeren
6687BT,50,,Emmastraat,Angeren
6687BR,53,,Emmastraat,Angeren
6687BT,54,,Emmastraat,Angeren
6687BR,55,,Emmastraat,Angeren
6687BT,56,,Emmastraat,Angeren
6687BR,57,,Emmastraat,Angeren
6687BT,58,,Emmastraat,Angeren
6687BR,59,,Emmastraat,Angeren
6687BT,60,,Emmastraat,Angeren
6687BR,61,,Emmastraat,Angeren
6687BT,62,,Emmastraat,Angeren
6687BR,63,,Emmastraat,Angeren
6687BT,64,,Emmastraat,Angeren
6687BR,65,,Emmastraat,Angeren
6687BT,66,,Emmastraat,Angeren
6687BR,67,,Emmastraat,Angeren
6687BT,68,,Emmastraat,Angeren
6687BR,69,,Emmastraat,Angeren
6687BT,70,,Emmastraat,Angeren
6687BR,71,,Emmastraat,Angeren
6687BT,72,,Emmastraat,Angeren
6687BR,73,,Emmastraat,Angeren
6687BT,74,,Emmastraat,Angeren
6687BR,75,,Emmastraat,Angeren
6687BT,76,,Emmastraat,Angeren
6687BT,78,,Emmastraat,Angeren
6687BT,80,,Emmastraat,Angeren
6687BT,82,,Emmastraat,Angeren
6687BT,84,,Emmastraat,Angeren
6852LE,1,,Endepoel,Huissen
6852LG,2,,Endepoel,Huissen
6852LE,3,,Endepoel,Huissen
6852LG,4,,Endepoel,Huissen
6852LE,5,,Endepoel,Huissen
6852LG,6,,Endepoel,Huissen
6852LE,7,,Endepoel,Huissen
6852LG,8,,Endepoel,Huissen
6852LE,9,,Endepoel,Huissen
6852LG,10,,Endepoel,Huissen
6852LE,11,,Endepoel,Huissen
6852LG,12,,Endepoel,Huissen
6852LE,13,,Endepoel,Huissen
6852LG,14,,Endepoel,Huissen
6852LE,15,,Endepoel,Huissen
6852LG,16,,Endepoel,Huissen
6852LE,17,,Endepoel,Huissen
6852LG,18,,Endepoel,Huissen
6852LE,19,,Endepoel,Huissen
6852LG,20,,Endepoel,Huissen
6852LE,21,,Endepoel,Huissen
6852LG,22,,Endepoel,Huissen
6852LE,23,,Endepoel,Huissen
6852LG,24,,Endepoel,Huissen
6852LE,25,,Endepoel,Huissen
6852LG,26,,Endepoel,Huissen
