90,8231AZ,Karveel 15,Lelystad
20,8221RG,Overstag,Lelystad
2,8232DL,Stationsplein,Lelystad
11,8232DL,Stationsplein,Lelystad
100,8243PP,Vaartweg,Lelystad
29,8226LP,Maasstraat,Lelystad
12,8218NC,Eendenweg,Lelystad
30,8226GS,Volkerakstraat,Lelystad
21,8232LR,Tjalk 24,Lelystad
16,8225TA,Griend 34,Lelystad
25,8219PW,Hondsdraf,Lelystad
12,8225AW,Wold 20,Lelystad
20,8225AW,Wold 20,Lelystad
2,8243PK,Zeilweg,Lelystad
69,8243PN,Kolkweg,Lelystad
36,8226LP,Maasstraat,Lelystad
151,8241AC,Golfpark,Lelystad
30,8231DK,Karveel 40,Lelystad
16,8243TP,Schoener 18,Lelystad
26,8232NJ,Tjalk 30,Lelystad
60,8232NJ,Tjalk 30,Lelystad
4,8243VW,Schoener 42,Lelystad
22,8224MG,Parkzijde,Lelystad
14,8224MG,Parkzijde,Lelystad
158,8223CH,Rode Klif,Lelystad
51,8245AA,Buizerdweg,Lelystad
33,8219PW,Hondsdraf,Lelystad
59,8243PB,Oostvaardersdijk,Lelystad
59,8244PB,Oostvaardersdijk,Lelystad
152,8226JX,Ketelmeerstraat,Lelystad
42,8243PZ,Zuiveringweg,Lelystad
4,8243EB,Jol 16,Lelystad
1,8226LR,Amer,Lelystad
3,8226LR,Amer,Lelystad
5,8226LR,Amer,Lelystad
7,8226LR,Amer,Lelystad
9,8226LR,Amer,Lelystad
15,8226LR,Amer,Lelystad
19,8226LR,Amer,Lelystad
21,8226LR,Amer,Lelystad
25,8226LR,Amer,Lelystad
27,8226LR,Amer,Lelystad
31,8226LR,Amer,Lelystad
